album_id,album_url,album_title,event_name,event_year,photo_count,last_processed_at,notes
72157717544315847,https://www.flickr.com/photos/sitcon/albums/72157717544315847,2020 SITCON Hour of Code 羅東場,,,54,,
72157717334947748,https://www.flickr.com/photos/sitcon/albums/72157717334947748,2020 SITCON Hour of Code 新竹場,,,69,,
72157717212914487,https://www.flickr.com/photos/sitcon/albums/72157717212914487,2020 SITCON Hour of Code 花蓮場,,,53,,
72157715603590802,https://www.flickr.com/photos/sitcon/albums/72157715603590802,SITCON 2020,,,792,,
72157715595949281,https://www.flickr.com/photos/sitcon/albums/72157715595949281,SITCON 2020 場佈,,,63,,
72157712614930911,https://www.flickr.com/photos/sitcon/albums/72157712614930911,2019 SITCON Hour of Code 台中場,,,94,,
72157712416014617,https://www.flickr.com/photos/sitcon/albums/72157712416014617,2019 SITCON Hour of Code 花蓮場,,,40,,
72157712414856286,https://www.flickr.com/photos/sitcon/albums/72157712414856286,2019 SITCON Hour of Code 新北場,,,93,,
72157712311752997,https://www.flickr.com/photos/sitcon/albums/72157712311752997,SITCON 2020 工人相見歡,,,87,,
72157710784011561,https://www.flickr.com/photos/sitcon/albums/72157710784011561,SITCON Summer Camp 2019 營期,,,1124,,
72157710779742746,https://www.flickr.com/photos/sitcon/albums/72157710779742746,SITCON Summer Camp 2019 營前,,,180,,
72157704514554802,https://www.flickr.com/photos/sitcon/albums/72157704514554802,SITCON 2019,,,493,,
72157677661554177,https://www.flickr.com/photos/sitcon/albums/72157677661554177,SITCON 2019 場佈,,,77,,
72157677752365668,https://www.flickr.com/photos/sitcon/albums/72157677752365668,2018 SITCON Hour of Code 新竹場,,,82,,
72157705286191194,https://www.flickr.com/photos/sitcon/albums/72157705286191194,2018 SITCON Hour of Code 花蓮場,,,83,,
72157677752296128,https://www.flickr.com/photos/sitcon/albums/72157677752296128,SITCON 2019 工人見面會,,,128,,
72157694606743870,https://www.flickr.com/photos/sitcon/albums/72157694606743870,SITCON camp 同學會,,,98,,
72157689042669690,https://www.flickr.com/photos/sitcon/albums/72157689042669690,SITCON 2018,,,984,,
72157692988268361,https://www.flickr.com/photos/sitcon/albums/72157692988268361,SITCON 2018 會前/場佈,,,100,,
72157689566427591,https://www.flickr.com/photos/sitcon/albums/72157689566427591,2017 SITCON Hour of code 花蓮場,,,62,,
72157690061013444,https://www.flickr.com/photos/sitcon/albums/72157690061013444,SITCON @ 2017 It MONTH 資訊月台北場,,,28,,
72157687554228696,https://www.flickr.com/photos/sitcon/albums/72157687554228696,SITCON Summer camp 2017 營期,,,555,,
72157684830963971,https://www.flickr.com/photos/sitcon/albums/72157684830963971,SITCON Summer camp 2017 營前,,,125,,
72157683280700355,https://www.flickr.com/photos/sitcon/albums/72157683280700355,SITCON 2017,,,1132,,
72157680052940074,https://www.flickr.com/photos/sitcon/albums/72157680052940074,SITCON 2017 場地佈置,,,77,,
72157671631270030,https://www.flickr.com/photos/sitcon/albums/72157671631270030,SITCON Summer camp 2016 營期,,,221,,
72157669696256924,https://www.flickr.com/photos/sitcon/albums/72157669696256924,SITCON Summer camp 2016 營前,,,106,,
72157663381706604,https://www.flickr.com/photos/sitcon/albums/72157663381706604,SITCON 2016 場佈,,,86,,
72157664686586659,https://www.flickr.com/photos/sitcon/albums/72157664686586659,2016 SITCON 籌備花絮,,,57,,
